carnet,carrera_id,tipo_estudiante_id,dpi,nombres,apellidos,fecha_nacimiento,contrasenia
202257052,1,3,5940781618495,Gabriela Alejandra,Torres Reyes,2004-12-03,Cunoc12345
202240007,1,3,1051834738299,Ana Lucía,González Ramírez,2002-04-26,Cunoc12345
202286350,1,3,8262045053315,Andrés Mauricio,Flores Mendoza,2002-10-24,Cunoc12345
202268991,1,3,4348734714345,Hugo Leonel,Toj Sipac,2003-09-03,Cunoc12345
202441890,1,2,4957885685574,Carmen Rosa,Fuentes García,2005-05-08,Cunoc12345
202474722,1,2,7190659401399,Miguel Ángel,Velásquez Vásquez,2007-11-27,Cunoc12345
202453573,1,2,8867533963605,Kevin Josué,Coyoy Marín,2004-12-26,Cunoc12345
202642780,1,1,7436713695944,Valentina Isabel,Morales Cruz,2009-11-13,Cunoc12345
202692242,1,1,0470952145623,Luis Fernando,Rodríguez Torres,2008-09-12,Cunoc12345
202621836,1,1,6048175496513,Óscar René,Barrios Orozco,2006-01-20,Cunoc12345
202227781,2,3,6758692617964,Natalia Cristina,Moreno Gutiérrez,2005-12-12,Cunoc12345
202265028,2,3,7525459910229,Jorge Mario,Aguilar González,2005-11-03,Cunoc12345
202254791,2,3,7332214188805,Patricia Elena,Ortiz Aguilar,2004-10-13,Cunoc12345
202220345,2,3,6928451154479,Ricardo Enrique,Ruiz Ortiz,2002-03-23,Cunoc12345
202485718,2,2,5327877470168,Marcos Antonio,Jiménez Herrera,2004-04-07,Cunoc12345
202485166,2,2,8665240415747,Wilmer Estuardo,Juárez Maldonado,2006-04-27,Cunoc12345
202421368,2,2,6122753046374,Karla Vanessa,Cifuentes Dávila,2005-05-19,Cunoc12345
202690599,2,1,0331190790306,Alejandro David,Gutiérrez López,2006-04-18,Cunoc12345
202692050,2,1,6870568566246,Daniela Beatriz,Díaz Ruiz,2008-09-16,Cunoc12345
202616755,2,1,4699013983735,Sergio Iván,Castillo Estrada,2007-01-07,Cunoc12345
202271537,3,3,5355609320489,Roberto Carlos,Chávez Fuentes,2002-05-05,Cunoc12345
202251507,3,3,5110475412126,Brenda Liseth,Samayoa Méndez,2002-09-18,Cunoc12345
202213219,3,3,7146112545738,Lesbia Marisol,Ajú Xicará,2002-06-16,Cunoc12345
202284720,3,3,5849825449481,Sandra Melissa,Vásquez Rodríguez,2004-07-02,Cunoc12345
202456076,3,2,6523413899940,Claudia Patricia,Álvarez Velásquez,2005-04-17,Cunoc12345
202413847,3,2,5648149177850,Fernando José,Cruz Moreno,2004-10-06,Cunoc12345
202419808,3,2,9906234456557,Mónica Yesenia,Chávez Pérez,2005-04-03,Cunoc12345
202616637,3,1,2966706625324,Ingrid Yolanda,Tzoc Ajú,2007-08-05,Cunoc12345
202655093,3,1,9856420593040,José Eduardo,Martínez Pérez,2006-09-12,Cunoc12345
202657026,3,1,9059929378427,Carlos Alberto,García López,2009-02-02,Cunoc12345
202257826,4,3,1569154522675,Enrique Ariel,Batz Matom,2004-12-18,Cunoc12345
202272424,4,3,4160898992172,Beatriz Lorena,Estrada Martínez,2004-04-26,Cunoc12345
202245269,4,3,6800722903494,Laura Sofía,Hernández Flores,2003-07-13,Cunoc12345
202257087,4,3,3260332309821,Pedro Alejandro,Pérez Morales,2003-12-21,Cunoc12345
202489194,4,2,9488375503758,Diego Andrés,Ramírez Díaz,2004-12-22,Cunoc12345
202436201,4,2,4244204380571,Eduardo Rafael,Reyes Álvarez,2006-12-21,Cunoc12345
202451984,4,2,8112880133613,Paula Gabriela,Mendoza Chávez,2004-11-27,Cunoc12345
202673828,4,1,8129142834110,Alejandra Paola,Herrera Castillo,2009-10-19,Cunoc12345
202627548,4,1,7881658039282,María Fernanda,López Hernández,2006-03-06,Cunoc12345
202640673,4,1,0385677005184,Sofía Valentina,Sánchez Jiménez,2007-10-18,Cunoc12345
