carnet_estudiante_id,municipio_id,direccion,correo_institucional,telefono
202257052,1,"Zona 1, Col. Las Rosas",gabriela.torres@cunoc.edu.gt,95855124
202240007,2,"Zona 4, Res. El Carmen",ana.gonzalez@cunoc.edu.gt,42582524
202286350,3,"Zona 2, Col. Las Rosas",andres.flores@cunoc.edu.gt,93726327
202268991,4,"Zona 2, Col. Las Rosas",hugo.toj@cunoc.edu.gt,47426265
202441890,5,"Zona 1, Col. Las Rosas",carmen.fuentes@cunoc.edu.gt,53005795
202474722,6,"Zona 3, Res. Las Palmas",miguel.velasquez@cunoc.edu.gt,33939212
202453573,7,"Zona 4, Res. El Carmen",kevin.coyoy@cunoc.edu.gt,83551903
202642780,8,"Zona 3, Col. El Mirador",valentina.morales@cunoc.edu.gt,71822825
202692242,9,"Zona 5, Res. Las Palmas",luis.rodriguez@cunoc.edu.gt,53760597
202621836,10,"Zona 5, Col. San José",oscar.barrios@cunoc.edu.gt,74713925
202227781,11,"Zona 2, Res. El Carmen",natalia.moreno@cunoc.edu.gt,64961312
202265028,12,"Zona 3, Res. El Carmen",jorge.aguilar@cunoc.edu.gt,88113787
202254791,13,"Zona 2, Col. Las Rosas",patricia.ortiz@cunoc.edu.gt,43777286
202220345,14,"Zona 4, Col. San José",ricardo.ruiz@cunoc.edu.gt,61710601
202485718,15,"Zona 5, Col. San José",marcos.jimenez@cunoc.edu.gt,31847927
202485166,16,"Zona 5, Col. San José",wilmer.juarez@cunoc.edu.gt,75557052
202421368,17,"Zona 6, Res. Las Palmas",karla.cifuentes@cunoc.edu.gt,35388133
202690599,18,"Zona 2, Col. El Mirador",alejandro.gutierrez@cunoc.edu.gt,49453969
202692050,19,"Zona 2, Col. Las Rosas",daniela.diaz@cunoc.edu.gt,53421820
202616755,20,"Zona 2, Col. El Mirador",sergio.castillo@cunoc.edu.gt,89034958
202271537,21,"Zona 2, Col. San José",roberto.chavez@cunoc.edu.gt,47372653
202251507,22,"Zona 5, Res. El Carmen",brenda.samayoa@cunoc.edu.gt,31440601
202213219,23,"Zona 1, Res. El Carmen",lesbia.aju@cunoc.edu.gt,88590804
202284720,24,"Zona 3, Col. Las Rosas",sandra.vasquez@cunoc.edu.gt,83226183
202456076,25,"Zona 5, Res. Las Palmas",claudia.alvarez@cunoc.edu.gt,47572491
202413847,26,"Zona 3, Col. Las Rosas",fernando.cruz@cunoc.edu.gt,52726457
202419808,27,"Zona 2, Col. Las Rosas",monica.chavez@cunoc.edu.gt,92828260
202616637,28,"Zona 1, Res. Las Palmas",ingrid.tzoc@cunoc.edu.gt,75123584
202655093,29,"Zona 5, Col. Las Rosas",jose.martinez@cunoc.edu.gt,42679975
202657026,30,"Zona 2, Res. Las Palmas",carlos.garcia@cunoc.edu.gt,41334336
202257826,31,"Zona 6, Res. Las Palmas",enrique.batz@cunoc.edu.gt,96986539
202272424,32,"Zona 2, Col. Las Rosas",beatriz.estrada@cunoc.edu.gt,38103052
202245269,33,"Zona 3, Res. El Carmen",laura.hernandez@cunoc.edu.gt,54660940
202257087,34,"Zona 1, Res. El Carmen",pedro.perez@cunoc.edu.gt,85291430
202489194,35,"Zona 3, Res. El Carmen",diego.ramirez@cunoc.edu.gt,32634721
202436201,36,"Zona 5, Res. El Carmen",eduardo.reyes@cunoc.edu.gt,49571853
202451984,37,"Zona 1, Col. Las Rosas",paula.mendoza@cunoc.edu.gt,38704520
202673828,38,"Zona 4, Res. Las Palmas",alejandra.herrera@cunoc.edu.gt,41614990
202627548,39,"Zona 5, Res. Las Palmas",maria.lopez@cunoc.edu.gt,83452813
202640673,40,"Zona 5, Col. Las Rosas",sofia.sanchez@cunoc.edu.gt,67350486
