carrera,curso,prerequisito,id_carrera
Sistemas,3011,3003,1
Sistemas,3006,3000,1
Sistemas,3231,3000,1
Sistemas,3007,3000,1
Sistemas,3086,3082,1
Sistemas,3085,3081,1
Sistemas,3232,3006,1
Sistemas,3232,3007,1
Sistemas,3232,3231,1
Sistemas,3233,3006,1
Sistemas,3233,3007,1
Sistemas,3233,3231,1
Sistemas,3234,3006,1
Sistemas,3234,3007,1
Sistemas,3234,3231,1
Sistemas,3013,3006,1
Sistemas,3014,3006,1
Sistemas,3014,3007,1
Sistemas,3098,3085,1
Sistemas,3235,3234,1
Sistemas,3235,3232,1
Sistemas,3235,3231,1
Sistemas,3236,3013,1
Sistemas,3236,3234,1
Sistemas,3236,3232,1
Sistemas,3236,3231,1
Sistemas,3021,3013,1
Sistemas,3022,3013,1
Sistemas,3023,3013,1
Sistemas,3023,3014,1
Sistemas,3237,3098,1
Sistemas,3238,3006,1
Sistemas,3238,3234,1
Sistemas,3090,3013,1
Sistemas,3090,3005,1
Sistemas,3239,3236,1
Sistemas,3239,3235,1
Sistemas,3239,3233,1
Sistemas,3240,3023,1
Sistemas,3240,3236,1
Sistemas,3240,3233,1
Sistemas,3241,3236,1
Sistemas,3241,3235,1
Sistemas,3241,3233,1
Sistemas,3027,3021,1
Sistemas,3027,3022,1
Sistemas,3028,3021,1
Sistemas,3028,3022,1
Sistemas,3242,3090,1
Sistemas,3242,3241,1
Sistemas,3242,3027,1
Sistemas,3242,3028,1
Sistemas,3243,3236,1
Sistemas,3243,3090,1
Sistemas,3244,3090,1
Sistemas,3245,3241,1
Sistemas,3245,3239,1
Sistemas,3246,3235,1
Sistemas,3246,3240,1
Sistemas,3247,3241,1
Sistemas,3247,3235,1
Sistemas,3036,3028,1
Sistemas,3121,3028,1
Sistemas,3033,3022,1
Sistemas,3033,3023,1
Sistemas,3248,3243,1
Sistemas,3248,3242,1
Sistemas,3249,3243,1
Sistemas,3250,3246,1
Sistemas,3250,3245,1
Sistemas,3251,3246,1
Sistemas,3252,3247,1
Sistemas,3252,3246,1
Sistemas,3253,3247,1
Sistemas,3254,3247,1
Sistemas,3254,3239,1
Sistemas,3254,3246,1
Sistemas,3254,3238,1
Sistemas,3255,3250,1
Sistemas,3256,3252,1
Sistemas,3257,3250,1
Sistemas,3257,3253,1
Sistemas,3258,3253,1
Sistemas,3259,3250,1
Sistemas,3259,3248,1
Sistemas,3259,3253,1
Sistemas,3110,3090,1
Sistemas,3260,3249,1
Sistemas,3260,3248,1
Sistemas,3261,3258,1
Sistemas,3261,3244,1
Sistemas,3262,3248,1
Sistemas,3262,3257,1
Sistemas,3262,3245,1
Sistemas,3263,3256,1
Sistemas,3264,3258,1
Sistemas,3265,3255,1
Sistemas,3265,3257,1
Sistemas,3265,3259,1
Sistemas,3266,3258,1
Sistemas,3267,3257,1
Sistemas,3268,3258,1
Sistemas,3268,3255,1
Sistemas,3268,3256,1
Sistemas,3268,3254,1
Sistemas,3269,3260,1
Sistemas,3270,3261,1
Sistemas,3271,3261,1
Sistemas,3272,3262,1
Sistemas,3273,3256,1
Sistemas,3274,3264,1
Sistemas,3275,3264,1
Sistemas,3275,3266,1
Sistemas,3276,3264,1
Sistemas,3277,3264,1
Sistemas,3277,3261,1
Sistemas,3277,3265,1
Sistemas,3278,3264,1
Sistemas,3278,3261,1
Sistemas,3278,3265,1
